HCHO Reading,Location,Current Date,Next Date,Precipitation,Wind Direction,Latitude,Longitude,Elevation
8.792586073765203e-05,NUWARA ELIYA,2019-03-21,2019-03-22,4.83,97.25,6.9497,80.7891,681.44
6.845485111101992e-05,NUWARA ELIYA,2019-03-22,2019-03-23,0.46,68.94,6.9497,80.7891,681.44
0.0001184572953092,NUWARA ELIYA,2019-03-23,2019-03-24,3.19,112.94,6.9497,80.7891,681.44
0.0002337061979083,NUWARA ELIYA,2019-03-24,2019-03-25,0.24,74.88,6.9497,80.7891,681.44
5.820339193343703e-05,NUWARA ELIYA,2019-03-25,2019-03-26,0.0,72.94,6.9497,80.7891,681.44
8.722993536189284e-05,NUWARA ELIYA,2019-03-26,2019-03-27,0.0,77.62,6.9497,80.7891,681.44
9.746027246583777e-05,NUWARA ELIYA,2019-03-27,2019-03-28,0.0,126.62,6.9497,80.7891,681.44
0.0001692817181159,NUWARA ELIYA,2019-03-28,2019-03-29,0.07,119.44,6.9497,80.7891,681.44
0.0001940701991971,NUWARA ELIYA,2019-03-29,2019-03-30,0.0,100.62,6.9497,80.7891,681.44
0.000199954111486,NUWARA ELIYA,2019-03-30,2019-03-31,0.11,172.62,6.9497,80.7891,681.44
0.0001030857769564,NUWARA ELIYA,2019-03-31,2019-04-01,0.12,253.5,6.9497,80.7891,681.44
0.0001345494559591,NUWARA ELIYA,2019-04-01,2019-04-02,0.01,228.75,6.9497,80.7891,681.44
0.000144982511753,NUWARA ELIYA,2019-04-02,2019-04-03,0.0,147.0,6.9497,80.7891,681.44
0.0001425276102801,NUWARA ELIYA,2019-04-03,2019-04-04,0.24,123.88,6.9497,80.7891,681.44
0.0001196842667319,NUWARA ELIYA,2019-04-04,2019-04-05,0.31,151.38,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-05,2019-04-06,0.03,226.56,6.9497,80.7891,681.44
0.0001029167153844,NUWARA ELIYA,2019-04-06,2019-04-07,0.01,224.06,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-07,2019-04-08,0.02,211.88,6.9497,80.7891,681.44
6.757815417269227e-05,NUWARA ELIYA,2019-04-08,2019-04-09,0.02,215.06,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-09,2019-04-10,0.01,254.5,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-10,2019-04-11,0.26,109.44,6.9497,80.7891,681.44
-3.0204162612790245e-05,NUWARA ELIYA,2019-04-11,2019-04-12,4.16,245.56,6.9497,80.7891,681.44
0.0001408357462238,NUWARA ELIYA,2019-04-12,2019-04-13,0.4,139.44,6.9497,80.7891,681.44
0.0001905907485365,NUWARA ELIYA,2019-04-13,2019-04-14,2.36,128.06,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-14,2019-04-15,1.27,125.5,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-15,2019-04-16,0.53,125.44,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-16,2019-04-17,2.94,145.94,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-17,2019-04-18,4.50894674556213,153.75,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-18,2019-04-19,1.46,173.0,6.9497,80.7891,681.44
-5.74071960045633e-05,NUWARA ELIYA,2019-04-19,2019-04-20,0.41,190.81,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-20,2019-04-21,7.22,182.0,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-21,2019-04-22,2.58,234.88,6.9497,80.7891,681.44
0.0001024999823835,NUWARA ELIYA,2019-04-22,2019-04-23,3.05,156.06,6.9497,80.7891,681.44
0.0001742585006953,NUWARA ELIYA,2019-04-23,2019-04-24,3.04,140.88,6.9497,80.7891,681.44
0.0002955116204609,NUWARA ELIYA,2019-04-24,2019-04-25,2.05,86.75,6.9497,80.7891,681.44
-4.44070437953798e-05,NUWARA ELIYA,2019-04-25,2019-04-26,14.9,272.0,6.9497,80.7891,681.44
7.111501928962651e-05,NUWARA ELIYA,2019-04-26,2019-04-27,1.17,68.75,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-27,2019-04-28,0.29,158.5,6.9497,80.7891,681.44
0.0001093271878134,NUWARA ELIYA,2019-04-28,2019-04-29,1.63,214.88,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-29,2019-04-30,9.31,236.69,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-04-30,2019-05-01,6.93,248.31,6.9497,80.7891,681.44
0.0001203378887073,NUWARA ELIYA,2019-05-01,2019-05-02,4.31,244.38,6.9497,80.7891,681.44
0.0001336923031109,NUWARA ELIYA,2019-05-02,2019-05-03,2.25,237.06,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-05-03,2019-05-04,3.95,234.75,6.9497,80.7891,681.44
7.002533500214887e-05,NUWARA ELIYA,2019-05-04,2019-05-05,1.88,242.56,6.9497,80.7891,681.44
4.388346007494007e-05,NUWARA ELIYA,2019-05-05,2019-05-06,0.13,213.62,6.9497,80.7891,681.44
0.0001055412390811,NUWARA ELIYA,2019-05-06,2019-05-07,0.01,225.81,6.9497,80.7891,681.44
0.0001036462577021,NUWARA ELIYA,2019-05-07,2019-05-08,0.05,238.75,6.9497,80.7891,681.44
